PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
"A: A storm was brewing. Nonetheless, the fisherman still went out to the sea.<br>B: ___________________________",3.0,-0.6599869007,S,a) I can&#8217;t believe he was that stupid!,1.0,0.0,0.0
"A: A storm was brewing. Nonetheless, the fisherman still went out to the sea.<br>B: ___________________________",3.0,-0.6599869007,N,"b) At least, he&#146;ll do better than last time.",1.0,0.0,0.0
"A: A storm was brewing. Nonetheless, the fisherman still went out to the sea.<br>B: ___________________________",3.0,-0.6599869007,N,c) Good for him!,1.0,0.0,0.0
_____________ a few bananas and a few apples in the fruit bowl.,1.0,0.7581313247,N,a) They are,1.0,0.0,0.0
_____________ a few bananas and a few apples in the fruit bowl.,1.0,0.7581313247,N,b) Exists,1.0,0.0,0.0
_____________ a few bananas and a few apples in the fruit bowl.,1.0,0.7581313247,S,c) There are,1.0,0.0,0.0
"After what happened the last time, ____________________",1.0,1.3946877519999998,N,c)  you  should no trust him again.,1.0,0.0,0.0
"After what happened the last time, ____________________",1.0,1.3946877519999998,N,b) you not should trust him again.,1.0,0.0,0.0
"After what happened the last time, ____________________",1.0,1.3946877519999998,S,a) you shouldn&#146;t trust him again.,1.0,0.0,0.0
A good driver _____________,1.0,0.4182093396,S,c) shouldn&#146;t exceed the speed limit.,1.0,0.0,0.0
A good driver _____________,1.0,0.4182093396,N,b) shouldn&#146;t exceeds the speed limit.,1.0,0.0,0.0
A good driver _____________,1.0,0.4182093396,N,a) should&#146;nt not exceeds the speed limit.,1.0,0.0,0.0
"A: Has Susan decided about college yet?<br>B: Yes,  I spoke to her last night. ________ to New York.<br>",1.0,1.68700144,N,c) She goes,1.0,0.0,0.0
"A: Has Susan decided about college yet?<br>B: Yes,  I spoke to her last night. ________ to New York.<br>",1.0,1.68700144,S,b) She&#146;s going,1.0,0.0,0.0
"A: Has Susan decided about college yet?<br>B: Yes,  I spoke to her last night. ________ to New York.<br>",1.0,1.68700144,N,a) She will going,1.0,0.0,0.0
A: Here you go Mr. Cavendish. We&#146;ve finished fixing your windshield. That&#146;ll be $120.00.<br>B:______________________________,3.0,-0.09125506483,N,c) Is it O.K. If we go to the wind mill?,1.0,0.0,0.0
A: Here you go Mr. Cavendish. We&#146;ve finished fixing your windshield. That&#146;ll be $120.00.<br>B:______________________________,3.0,-0.09125506483,S,b) I was wondering if you could give me a discount.,1.0,0.0,0.0
A: Here you go Mr. Cavendish. We&#146;ve finished fixing your windshield. That&#146;ll be $120.00.<br>B:______________________________,3.0,-0.09125506483,N,a) I was wondering if you could wrap it up for me.,1.0,0.0,0.0
A: I&#146;m starving.<br>B: Maybe we ought to ________________.,3.0,2.7843770130000003,S,b) have some hamburgers brought.,1.0,0.0,0.0
A: I&#146;m starving.<br>B: Maybe we ought to ________________.,3.0,2.7843770130000003,N,c) let some hamburgers brought,1.0,0.0,0.0
A: I&#146;m starving.<br>B: Maybe we ought to ________________.,3.0,2.7843770130000003,N,a) get some hamburgers bring.,1.0,0.0,0.0
"A: Instead of going to the cinema, we went to the theatre.<br>B:_____________________________",3.0,1.906120513,S,b) So how was the play?,1.0,0.0,0.0
"A: Instead of going to the cinema, we went to the theatre.<br>B:_____________________________",3.0,1.906120513,N,a) So how was the movie?,1.0,0.0,0.0
"A: Instead of going to the cinema, we went to the theatre.<br>B:_____________________________",3.0,1.906120513,N,"c) And which one did you like better, the movie, or the play? ",1.0,0.0,0.0
A: Is she free for lunch tomorrow?<br>B: I think  ______ tennis with Tatiana.,1.0,0.5477533604,S,c) she&#146;ll play,1.0,0.0,0.0
A: Is she free for lunch tomorrow?<br>B: I think  ______ tennis with Tatiana.,1.0,0.5477533604,N,b) she will going to play,1.0,0.0,0.0
A: Is she free for lunch tomorrow?<br>B: I think  ______ tennis with Tatiana.,1.0,0.5477533604,N,a) she will plays.,1.0,0.0,0.0
A: It&#146;s starting to rain.<br>B: Don&#146;t worry. ________ you my umbrella.,1.0,-0.04755778853999999,N,c) I lent,1.0,0.0,0.0
A: It&#146;s starting to rain.<br>B: Don&#146;t worry. ________ you my umbrella.,1.0,-0.04755778853999999,N,b) I lending,1.0,0.0,0.0
A: It&#146;s starting to rain.<br>B: Don&#146;t worry. ________ you my umbrella.,1.0,-0.04755778853999999,S,a) I&#146;ll lend,1.0,0.0,0.0
A: I want you to leave the keys at Mr. Peterson&#146;s.<br>B: _______________________________,3.0,0.467222486,N,c) I don&#146;t know what kind of keys he has.,1.0,0.0,0.0
A: I want you to leave the keys at Mr. Peterson&#146;s.<br>B: _______________________________,3.0,0.467222486,N,b) Do you know where her house is?,1.0,0.0,0.0
A: I want you to leave the keys at Mr. Peterson&#146;s.<br>B: _______________________________,3.0,0.467222486,S,a) Could you tell me how to get there?,1.0,0.0,0.0
All this tragedy __________________  if we had followed the warnings.,3.0,-3.050503059,N,c) could be prevented,1.0,0.0,0.0
All this tragedy __________________  if we had followed the warnings.,3.0,-3.050503059,S,b) could have been prevented,1.0,0.0,0.0
All this tragedy __________________  if we had followed the warnings.,3.0,-3.050503059,N,a) will have prevented,1.0,0.0,0.0
A: look! That house always looks abandoned.<br>B:_______________________________,3.0,1.063036913,N,c) I wonder why It looks at us.,1.0,0.0,0.0
A: look! That house always looks abandoned.<br>B:_______________________________,3.0,1.063036913,N,b) Do you know where the house is?,1.0,0.0,0.0
A: look! That house always looks abandoned.<br>B:_______________________________,3.0,1.063036913,S,a) I wonder whether someone lives there.,1.0,0.0,0.0
______________ a lot of traffic in Bogota.,1.0,2.014216057,N,c) It is,1.0,0.0,0.0
______________ a lot of traffic in Bogota.,1.0,2.014216057,S,b) There is,1.0,0.0,0.0
______________ a lot of traffic in Bogota.,1.0,2.014216057,N,a) They are,1.0,0.0,0.0
"Although Jane&#146;s boss _______ to persuade her to stay with the company, she _______ her resignation.",3.0,0.4387326272,N,c) tried . . . already submitted,1.0,0.0,0.0
"Although Jane&#146;s boss _______ to persuade her to stay with the company, she _______ her resignation.",3.0,0.4387326272,S,b) tried . . . had already submitted,1.0,0.0,0.0
"Although Jane&#146;s boss _______ to persuade her to stay with the company, she _______ her resignation.",3.0,0.4387326272,N,a) had tried . . . had already submitted,1.0,0.0,0.0
"Although ________of the lawn is open to the sun, there are ________of shade trees to make it comfortable.",3.0,0.12191003859999999,N,c) enough / many,1.0,0.0,0.0
